sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29857062	44	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857063	43	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857064	42	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857065	41	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857066	40	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857067	4	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857068	18	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857069	39	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857070	38	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857071	37	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857072	36	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857073	35	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857074	34	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857075	33	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857076	32	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857077	31	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857078	30	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857079	17	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857080	3	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857081	29	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857082	28	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857083	27	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857084	14	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29857085	14	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29857086	13	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	female
SRR29857087	13	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29857088	49	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857089	13	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	female
SRR29857090	12	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	male
SRR29857091	12	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29857092	12	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29857093	11	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	female
